payment_id,customer_id,profile,amount,failure_reason,attempt_number,subscription_months,successful_payments,failed_payments,avg_delay_days,reminder_success_rate
P000042,C04408,reliable,499,bank_error,2,8,32,2,0.7,0.83
P000043,C00487,churn_risk,499,authentication_failed,1,11,6,9,8.89,0.15
P000044,C08234,reliable,499,payment_method_issue,1,33,23,1,0.04,0.84
P000045,C06633,reliable,499,bank_error,1,6,17,1,0.61,0.82
P000046,C06832,reliable,499,bank_error,1,31,25,0,0.69,1.0
P000047,C03232,reliable,499,bank_error,1,17,15,2,0.24,1.0
P000048,C05762,reliable,499,bank_error,1,16,34,1,0.5,0.85
P000049,C03512,reliable,499,bank_error,1,21,14,2,0.61,0.83
P000050,C02712,frequent_failure,499,bank_error,2,9,6,4,7.27,0.22
P000051,C00413,reliable,499,authentication_failed,1,13,11,2,0.46,0.72
P000052,C04805,reliable,499,bank_error,1,25,33,2,0.87,0.75
P000053,C08154,reliable,499,insufficient_funds,1,34,12,2,0.07,0.93
P000054,C03606,reliable,499,authentication_failed,1,31,15,1,0.38,0.86
P000055,C04970,reliable,499,authentication_failed,1,7,20,0,0.01,0.84
P000056,C07089,reliable,499,bank_error,2,34,17,2,0.07,0.72
P000057,C03126,churn_risk,499,bank_error,1,10,3,6,8.22,0.09
P000058,C04757,occasionally_late,499,authentication_failed,1,8,18,4,3.86,0.51
P000059,C03650,reliable,499,bank_error,2,35,24,1,0.73,0.97
P000060,C03194,occasionally_late,499,bank_error,1,12,12,2,2.11,0.67
P000061,C07545,reliable,499,authentication_failed,1,9,13,0,0.01,0.97
P000062,C03425,frequent_failure,499,insufficient_funds,1,10,2,7,7.0,0.36
P000063,C03058,frequent_failure,499,insufficient_funds,1,5,11,7,4.95,0.5
P000064,C06405,occasionally_late,499,insufficient_funds,1,21,4,4,1.23,0.61
P000065,C03508,reliable,499,bank_error,1,22,29,1,0.48,0.84
P000066,C08073,occasionally_late,499,payment_method_issue,1,17,11,3,1.17,0.48
P000067,C00149,reliable,499,payment_method_issue,1,12,24,1,0.94,0.89
P000068,C09851,frequent_failure,499,payment_method_issue,1,9,9,5,6.66,0.38
P000069,C01423,reliable,499,payment_method_issue,1,29,16,2,0.28,0.71
P000070,C04735,churn_risk,499,insufficient_funds,1,9,6,9,6.95,0.3
P000071,C01059,reliable,499,payment_method_issue,1,35,36,0,0.94,0.84
P000072,C07553,reliable,499,payment_method_issue,1,25,20,2,0.14,0.79
P000073,C08108,churn_risk,499,bank_error,1,2,2,4,10.45,0.08
P000074,C06282,churn_risk,499,bank_error,1,3,6,9,6.38,0.2
P000075,C01788,reliable,499,bank_error,1,35,7,2,0.98,0.85
P000076,C01996,reliable,499,bank_error,1,18,26,0,0.6,0.88
P000077,C01870,reliable,499,authentication_failed,1,27,22,2,0.35,0.78
P000078,C06588,churn_risk,499,bank_error,1,9,3,8,12.75,0.1
P000079,C08060,reliable,499,payment_method_issue,1,29,17,0,0.66,0.92
P000080,C07139,frequent_failure,499,insufficient_funds,1,8,10,3,3.98,0.37
P000081,C08200,frequent_failure,499,insufficient_funds,1,8,9,4,4.93,0.41
P000082,C08405,reliable,499,bank_error,1,8,9,2,0.11,0.87
P000083,C07675,reliable,499,authentication_failed,1,18,18,0,0.77,0.96
P000084,C04501,frequent_failure,499,insufficient_funds,2,13,8,7,3.31,0.24
P000085,C02549,frequent_failure,499,payment_method_issue,1,16,3,6,7.94,0.35
P000086,C07873,occasionally_late,499,payment_method_issue,1,12,12,4,2.45,0.65
P000087,C05617,occasionally_late,499,insufficient_funds,1,9,10,1,1.08,0.57
P000088,C05462,reliable,499,bank_error,1,34,22,1,0.54,0.78
P000089,C00518,reliable,499,insufficient_funds,2,23,19,1,0.71,0.95
P000090,C01907,reliable,499,bank_error,2,21,26,2,0.3,0.91
P000091,C03184,reliable,499,insufficient_funds,1,7,12,0,0.9,0.77
P000092,C02556,reliable,499,payment_method_issue,1,36,8,0,0.81,0.95
P000093,C02113,reliable,499,bank_error,1,31,22,2,0.7,0.93
P000094,C08798,reliable,499,authentication_failed,1,29,29,2,0.51,0.87
P000095,C09723,churn_risk,499,authentication_failed,1,8,4,4,6.77,0.24
P000096,C08893,reliable,499,payment_method_issue,1,30,11,1,0.92,0.92
P000097,C06451,reliable,499,bank_error,2,24,11,0,0.1,0.82
P000098,C04995,reliable,499,insufficient_funds,1,35,22,2,0.23,0.72
P000099,C09855,reliable,499,bank_error,2,6,7,1,0.94,0.81
P000100,C08984,churn_risk,499,bank_error,1,1,6,4,12.47,0.22
P000101,C00930,reliable,499,payment_method_issue,1,32,6,2,0.22,0.73
P000102,C06204,occasionally_late,499,payment_method_issue,1,7,8,1,2.18,0.68
P000103,C03594,reliable,499,bank_error,2,14,7,0,0.1,0.7
P000104,C09162,reliable,499,payment_method_issue,2,35,30,0,0.5,0.85
P000105,C02306,frequent_failure,499,bank_error,1,5,9,6,6.51,0.21
P000106,C06016,frequent_failure,499,payment_method_issue,1,8,6,5,3.11,0.47
P000107,C01288,reliable,499,payment_method_issue,2,34,14,1,0.21,0.76
P000108,C00299,reliable,499,insufficient_funds,1,18,16,0,0.12,0.86
P000109,C09723,churn_risk,499,payment_method_issue,1,8,4,4,6.77,0.24
P000110,C09719,occasionally_late,499,insufficient_funds,2,18,16,4,3.37,0.58
P000111,C00488,reliable,499,bank_error,1,9,10,0,0.48,0.86
P000112,C08033,frequent_failure,499,payment_method_issue,1,15,9,7,7.77,0.34
P000113,C04403,occasionally_late,499,bank_error,2,10,5,1,1.18,0.79
P000114,C08046,reliable,499,insufficient_funds,2,20,25,0,0.05,0.82
P000115,C04548,occasionally_late,499,payment_method_issue,1,7,4,4,3.13,0.72
P000116,C00497,reliable,499,bank_error,1,31,17,1,0.15,0.84
P000117,C09389,reliable,499,bank_error,2,6,11,2,0.6,0.95
P000118,C05768,occasionally_late,499,bank_error,1,17,6,2,2.74,0.5
P000119,C05120,occasionally_late,499,insufficient_funds,1,4,3,1,1.44,0.63
P000120,C00567,reliable,499,insufficient_funds,2,32,30,0,0.48,0.9
P000121,C06110,occasionally_late,499,authentication_failed,1,14,12,1,3.39,0.7
P000122,C04500,reliable,499,payment_method_issue,1,6,14,1,0.92,0.85
P000123,C03389,frequent_failure,499,insufficient_funds,1,17,7,7,7.03,0.38
P000124,C02196,occasionally_late,499,payment_method_issue,2,17,17,4,3.91,0.69
P000125,C02161,reliable,499,bank_error,1,13,29,0,0.66,0.71
P000126,C03408,churn_risk,499,authentication_failed,1,2,6,7,6.35,0.24
P000127,C06361,reliable,499,payment_method_issue,1,30,16,1,0.77,0.97
P000128,C09121,reliable,499,bank_error,1,21,30,1,0.79,0.8
P000129,C09413,frequent_failure,499,payment_method_issue,2,17,6,6,7.47,0.23
P000130,C03419,frequent_failure,499,payment_method_issue,1,18,8,4,6.31,0.4
P000131,C09887,churn_risk,499,payment_method_issue,1,2,1,5,10.58,0.15
P000132,C04964,frequent_failure,499,bank_error,1,18,3,3,5.97,0.25
P000133,C00147,occasionally_late,499,bank_error,1,22,8,1,3.24,0.63
P000134,C05105,reliable,499,payment_method_issue,2,25,31,1,0.64,0.99
P000135,C05083,reliable,499,payment_method_issue,1,11,18,0,0.26,0.78
P000136,C02534,frequent_failure,499,payment_method_issue,1,13,3,3,6.53,0.5
P000137,C07423,reliable,499,authentication_failed,1,22,33,2,0.52,0.79
P000138,C03574,reliable,499,payment_method_issue,1,19,32,0,0.71,0.95
P000139,C04843,occasionally_late,499,insufficient_funds,2,13,7,4,2.95,0.65
P000140,C00260,reliable,499,authentication_failed,2,18,25,1,0.4,0.74
P000141,C09549,frequent_failure,499,payment_method_issue,1,16,4,6,5.84,0.4
P000142,C03812,occasionally_late,499,bank_error,1,22,11,4,2.92,0.68
P000143,C02677,reliable,499,payment_method_issue,1,31,18,0,0.92,0.79
P000144,C00081,reliable,499,bank_error,1,32,24,0,0.05,0.99
P000145,C05075,frequent_failure,499,insufficient_funds,1,12,6,7,3.48,0.23
P000146,C00681,reliable,499,insufficient_funds,1,27,34,1,0.09,1.0
P000147,C02951,reliable,499,payment_method_issue,2,35,12,2,0.81,0.89
P000148,C00585,frequent_failure,499,payment_method_issue,1,7,9,5,4.36,0.19
P000149,C02730,reliable,499,bank_error,1,11,22,2,0.02,0.74
P000150,C09761,occasionally_late,499,bank_error,1,21,5,2,3.19,0.59
P000151,C02308,reliable,499,bank_error,2,19,26,2,0.54,0.97
P000152,C06706,reliable,499,payment_method_issue,1,33,32,1,0.16,0.76
P000153,C05726,churn_risk,499,payment_method_issue,1,4,3,4,5.62,0.14
P000154,C03372,occasionally_late,499,authentication_failed,1,18,8,4,2.98,0.6
P000155,C04756,reliable,499,payment_method_issue,1,18,33,0,0.86,0.95
P000156,C00151,frequent_failure,499,insufficient_funds,1,6,6,3,4.56,0.24
P000157,C07126,occasionally_late,499,payment_method_issue,1,12,15,4,2.46,0.61
P000158,C06030,reliable,499,bank_error,1,7,16,2,0.21,0.93
P000159,C04703,reliable,499,payment_method_issue,2,6,27,1,0.71,0.83
P000160,C02685,reliable,499,bank_error,1,14,22,2,0.97,0.89
P000161,C05780,reliable,499,insufficient_funds,2,13,24,2,0.56,0.71
P000162,C05217,frequent_failure,499,payment_method_issue,2,18,3,5,3.67,0.3
P000163,C02195,occasionally_late,499,bank_error,1,11,14,4,1.32,0.62
P000164,C01053,reliable,499,bank_error,1,28,33,0,0.4,0.85
P000165,C06449,reliable,499,insufficient_funds,2,22,13,2,0.11,0.75
P000166,C08971,reliable,499,bank_error,1,18,10,1,0.78,0.87
P000167,C05809,reliable,499,payment_method_issue,2,7,23,0,0.61,0.86
P000168,C03842,frequent_failure,499,bank_error,1,12,5,7,4.32,0.38
P000169,C01659,churn_risk,499,payment_method_issue,1,2,1,7,7.47,0.3
P000170,C04628,occasionally_late,499,insufficient_funds,1,6,15,1,2.58,0.55
P000171,C07757,reliable,499,payment_method_issue,1,14,14,0,0.27,0.71
P000172,C02186,reliable,499,bank_error,1,30,23,2,0.21,0.89
P000173,C05353,occasionally_late,499,bank_error,1,10,12,4,2.91,0.73
P000174,C05088,occasionally_late,499,bank_error,1,8,5,1,1.88,0.51
P000175,C05971,frequent_failure,499,payment_method_issue,2,11,10,4,5.43,0.48
P000176,C02379,reliable,499,authentication_failed,1,19,12,1,0.04,0.84
P000177,C01881,occasionally_late,499,insufficient_funds,1,22,8,1,1.58,0.55
P000178,C00663,reliable,499,bank_error,1,27,19,2,0.71,0.81
P000179,C06383,occasionally_late,499,payment_method_issue,1,13,9,1,2.64,0.71
P000180,C02639,reliable,499,bank_error,1,20,25,1,0.51,0.75
P000181,C05876,reliable,499,insufficient_funds,1,24,24,2,0.03,0.91
P000182,C03956,occasionally_late,499,insufficient_funds,1,6,12,1,2.12,0.74
P000183,C02734,reliable,499,authentication_failed,1,22,32,1,0.85,0.88
P000184,C00580,frequent_failure,499,bank_error,2,4,9,3,5.7,0.25
P000185,C04084,churn_risk,499,bank_error,1,4,3,9,11.21,0.17
P000186,C05003,occasionally_late,499,payment_method_issue,1,14,3,3,1.47,0.47
P000187,C04476,frequent_failure,499,payment_method_issue,2,19,3,7,3.22,0.37
P000188,C07690,churn_risk,499,authentication_failed,2,8,2,7,14.53,0.3
P000189,C06529,reliable,499,authentication_failed,2,13,32,2,0.13,0.87
P000190,C04939,frequent_failure,499,insufficient_funds,2,13,3,3,3.96,0.3
P000191,C05459,frequent_failure,499,payment_method_issue,1,10,10,6,5.1,0.22
P000192,C05831,occasionally_late,499,bank_error,1,22,14,4,2.62,0.73
P000193,C06225,reliable,499,payment_method_issue,1,17,21,1,0.25,0.88
P000194,C05417,reliable,499,payment_method_issue,1,10,22,0,0.7,0.87
P000195,C03086,frequent_failure,499,payment_method_issue,1,19,2,7,3.02,0.29
P000196,C02083,frequent_failure,499,payment_method_issue,2,5,5,4,6.85,0.2
P000197,C00700,frequent_failure,499,insufficient_funds,1,17,8,5,6.69,0.25
P000198,C02590,frequent_failure,499,authentication_failed,2,12,5,7,3.98,0.45
P000199,C09270,reliable,499,payment_method_issue,1,25,10,1,0.89,0.87
P000200,C03666,reliable,499,bank_error,1,18,23,0,0.77,0.94
P000201,C00749,reliable,499,payment_method_issue,1,32,21,0,0.01,0.76
P000202,C05336,frequent_failure,499,payment_method_issue,1,7,8,6,6.96,0.3
P000203,C00415,frequent_failure,499,insufficient_funds,2,17,8,7,6.3,0.21
P000204,C05474,reliable,499,payment_method_issue,1,26,31,1,0.03,0.9
P000205,C02395,reliable,499,payment_method_issue,1,29,35,1,0.93,0.88
P000206,C06109,occasionally_late,499,payment_method_issue,1,15,17,3,3.4,0.48
P000207,C08045,churn_risk,499,insufficient_funds,1,7,2,7,9.51,0.26
P000208,C01865,frequent_failure,499,bank_error,2,18,10,3,6.66,0.36
P000209,C06109,occasionally_late,499,bank_error,1,15,17,3,3.4,0.48
P000210,C06735,occasionally_late,499,payment_method_issue,2,14,16,2,1.06,0.63
P000211,C02548,occasionally_late,499,insufficient_funds,1,10,17,1,1.76,0.58
P000212,C05322,occasionally_late,499,bank_error,2,11,5,2,3.2,0.79
P000213,C00978,frequent_failure,499,bank_error,2,7,11,7,4.93,0.18
P000214,C07513,reliable,499,payment_method_issue,1,25,6,0,0.7,0.86
P000215,C09098,reliable,499,bank_error,1,17,29,1,0.93,0.88
P000216,C01839,reliable,499,payment_method_issue,1,6,9,0,0.31,0.9
P000217,C05237,occasionally_late,499,insufficient_funds,2,9,10,1,3.74,0.76
P000218,C02522,occasionally_late,499,authentication_failed,1,16,10,4,1.4,0.55
P000219,C02161,reliable,499,bank_error,1,13,29,0,0.66,0.71
P000220,C09672,reliable,499,bank_error,1,15,21,0,0.42,0.81
P000221,C00976,occasionally_late,499,authentication_failed,1,17,4,3,1.33,0.76
P000222,C03320,reliable,499,payment_method_issue,1,6,27,1,0.47,0.84
P000223,C05120,occasionally_late,499,authentication_failed,1,4,3,1,1.44,0.63
P000224,C04806,frequent_failure,499,authentication_failed,1,10,9,7,4.88,0.44
P000225,C01437,frequent_failure,499,bank_error,1,17,3,5,4.59,0.41
P000226,C08594,occasionally_late,499,insufficient_funds,1,21,11,4,3.99,0.64
P000227,C08855,occasionally_late,499,bank_error,1,18,5,1,3.48,0.71
P000228,C07389,reliable,499,bank_error,1,11,14,1,0.27,0.75
P000229,C01533,occasionally_late,499,payment_method_issue,1,16,19,4,1.98,0.79
P000230,C02493,occasionally_late,499,insufficient_funds,2,8,16,2,2.61,0.64
P000231,C06075,occasionally_late,499,insufficient_funds,1,18,11,1,3.03,0.65
P000232,C00908,reliable,499,insufficient_funds,2,7,21,2,0.38,0.83
P000233,C02085,reliable,499,payment_method_issue,2,30,33,1,0.34,0.94
P000234,C03148,churn_risk,499,insufficient_funds,2,8,6,6,8.02,0.12
P000235,C02492,occasionally_late,499,payment_method_issue,1,15,11,3,2.15,0.65
P000236,C02765,occasionally_late,499,insufficient_funds,1,21,12,3,3.41,0.76
P000237,C07866,reliable,499,insufficient_funds,1,20,29,1,0.22,0.91
P000238,C05194,churn_risk,499,payment_method_issue,1,1,6,5,12.07,0.13
P000239,C04583,reliable,499,bank_error,1,21,13,1,0.69,0.98
P000240,C03856,occasionally_late,499,insufficient_funds,1,4,13,3,1.39,0.54
P000241,C08540,reliable,499,authentication_failed,1,8,11,0,0.5,0.79
P000242,C01542,churn_risk,499,insufficient_funds,2,1,4,8,5.74,0.06
P000243,C04808,reliable,499,payment_method_issue,1,33,31,0,0.93,0.91
P000244,C08656,reliable,499,payment_method_issue,1,14,7,1,0.87,0.87
P000245,C04138,occasionally_late,499,insufficient_funds,1,23,6,1,1.17,0.66
P000246,C06275,reliable,499,insufficient_funds,2,8,18,0,0.66,0.91
P000247,C02741,churn_risk,499,authentication_failed,1,10,6,6,13.53,0.11
P000248,C09086,reliable,499,payment_method_issue,2,30,13,0,0.56,0.98
P000249,C08787,reliable,499,payment_method_issue,2,34,14,1,0.26,0.99
P000250,C08468,occasionally_late,499,bank_error,1,11,17,3,3.74,0.57
P000251,C09200,occasionally_late,499,authentication_failed,1,11,7,2,3.34,0.47
P000252,C05268,occasionally_late,499,bank_error,1,13,4,1,3.18,0.5
P000253,C07275,frequent_failure,499,bank_error,1,11,9,7,3.6,0.48
P000254,C07934,frequent_failure,499,bank_error,2,15,11,6,5.93,0.31
P000255,C05592,frequent_failure,499,insufficient_funds,1,17,3,3,7.63,0.4
P000256,C04268,occasionally_late,499,authentication_failed,1,18,10,4,3.55,0.69
P000257,C05123,occasionally_late,499,payment_method_issue,1,21,11,4,3.52,0.49
P000258,C04066,reliable,499,bank_error,1,29,8,0,0.78,0.9
P000259,C00406,frequent_failure,499,authentication_failed,1,16,9,7,7.91,0.24
P000260,C00285,reliable,499,bank_error,2,23,19,1,0.12,0.77
P000261,C05207,reliable,499,bank_error,1,10,19,1,0.29,0.83
P000262,C04376,reliable,499,bank_error,1,23,36,0,0.2,0.98
P000263,C01671,occasionally_late,499,insufficient_funds,1,21,5,2,3.79,0.58
P000264,C08910,reliable,499,insufficient_funds,1,27,28,2,0.68,0.87
P000265,C09132,reliable,499,payment_method_issue,2,14,10,1,0.56,0.83
P000266,C00512,reliable,499,bank_error,1,11,21,1,0.08,0.85
P000267,C09998,reliable,499,bank_error,1,16,8,0,0.49,0.79
P000268,C01484,occasionally_late,499,insufficient_funds,1,4,16,4,1.07,0.57
P000269,C09223,occasionally_late,499,bank_error,1,21,7,4,3.46,0.51
P000270,C05440,occasionally_late,499,payment_method_issue,1,13,8,3,3.77,0.74
P000271,C05667,reliable,499,authentication_failed,1,7,15,1,0.18,0.71
P000272,C07462,occasionally_late,499,bank_error,1,16,7,2,1.29,0.56
P000273,C07625,occasionally_late,499,bank_error,1,16,11,4,1.64,0.5
P000274,C03085,reliable,499,bank_error,1,33,28,0,0.57,1.0
P000275,C08484,churn_risk,499,payment_method_issue,1,5,4,5,5.55,0.12
P000276,C05985,churn_risk,499,payment_method_issue,1,11,3,5,7.61,0.13
P000277,C07063,occasionally_late,499,bank_error,1,10,9,1,2.58,0.77
P000278,C05023,reliable,499,bank_error,1,22,11,0,0.73,0.82
P000279,C06945,reliable,499,payment_method_issue,2,18,21,2,0.75,0.96
P000280,C09969,reliable,499,bank_error,1,12,34,1,0.02,0.93
P000281,C05274,occasionally_late,499,payment_method_issue,1,21,7,4,3.57,0.45
P000282,C00090,frequent_failure,499,authentication_failed,1,8,3,7,4.89,0.4
P000283,C02538,reliable,499,bank_error,1,18,25,2,0.72,0.76
P000284,C03605,reliable,499,payment_method_issue,2,36,22,2,0.65,0.72
P000285,C05451,reliable,499,bank_error,1,17,8,2,0.6,0.98
P000286,C06374,churn_risk,499,bank_error,1,1,4,8,12.74,0.22
P000287,C04554,reliable,499,bank_error,1,15,34,0,0.69,0.79
P000288,C00714,occasionally_late,499,bank_error,1,22,14,4,2.99,0.52
P000289,C07869,reliable,499,bank_error,1,34,6,2,0.51,0.72
P000290,C01742,churn_risk,499,bank_error,1,3,5,8,6.77,0.11
P000291,C01329,reliable,499,insufficient_funds,1,34,20,1,0.2,0.79
P000292,C01892,frequent_failure,499,payment_method_issue,1,12,7,7,7.48,0.37
P000293,C04595,reliable,499,payment_method_issue,2,24,27,2,0.26,0.95
P000294,C02450,reliable,499,bank_error,1,28,28,0,0.11,0.78
P000295,C06003,frequent_failure,499,authentication_failed,1,10,6,7,5.33,0.43
P000296,C07543,reliable,499,bank_error,1,28,36,2,0.54,0.91
P000297,C09958,reliable,499,bank_error,1,26,18,1,0.56,0.75
P000298,C09806,frequent_failure,499,authentication_failed,2,16,1,7,6.16,0.41
P000299,C00139,occasionally_late,499,insufficient_funds,1,4,8,2,2.36,0.64
P000300,C02008,churn_risk,499,authentication_failed,2,7,2,7,10.79,0.22
P000301,C05464,churn_risk,499,insufficient_funds,2,11,6,6,10.79,0.15
P000302,C06668,churn_risk,499,insufficient_funds,1,10,0,8,12.71,0.21
P000303,C01684,occasionally_late,499,authentication_failed,1,5,12,3,1.68,0.65
P000304,C00665,reliable,499,payment_method_issue,1,35,22,0,0.01,0.94
P000305,C00767,reliable,499,payment_method_issue,1,22,36,0,0.2,0.71
P000306,C06197,frequent_failure,499,authentication_failed,1,6,7,4,5.35,0.33
P000307,C07269,reliable,499,insufficient_funds,1,18,11,2,0.87,0.97
P000308,C00005,reliable,499,bank_error,1,32,36,1,0.05,0.99
P000309,C00913,reliable,499,authentication_failed,1,18,15,0,0.29,0.96
P000310,C05657,reliable,499,bank_error,2,17,16,0,0.92,0.88
P000311,C00624,reliable,499,bank_error,1,6,30,1,0.27,0.77
P000312,C07093,reliable,499,insufficient_funds,1,36,22,2,0.03,1.0
P000313,C09038,reliable,499,authentication_failed,1,34,29,2,0.41,0.88
P000314,C03949,reliable,499,authentication_failed,1,33,14,0,0.52,0.79
P000315,C02312,churn_risk,499,bank_error,1,4,3,7,13.8,0.14
P000316,C00550,frequent_failure,499,authentication_failed,2,12,11,7,4.38,0.49
P000317,C01674,occasionally_late,499,payment_method_issue,1,15,6,4,2.39,0.71
P000318,C01188,churn_risk,499,insufficient_funds,1,3,5,6,5.84,0.3
P000319,C05351,reliable,499,bank_error,1,16,21,2,0.79,0.75
P000320,C06968,reliable,499,insufficient_funds,1,20,10,2,0.36,0.81
P000321,C05401,frequent_failure,499,insufficient_funds,1,4,10,7,5.94,0.44
P000322,C04140,occasionally_late,499,bank_error,1,16,16,1,3.07,0.59
P000323,C09185,churn_risk,499,insufficient_funds,1,2,5,9,7.09,0.09
P000324,C08435,reliable,499,bank_error,2,29,26,1,0.32,0.75
P000325,C08825,reliable,499,payment_method_issue,1,31,11,1,0.43,0.75
P000326,C02570,reliable,499,payment_method_issue,2,18,24,1,0.82,0.84
P000327,C00803,reliable,499,payment_method_issue,1,35,27,0,0.34,0.8
P000328,C04367,reliable,499,payment_method_issue,1,13,26,2,0.78,0.82
P000329,C07403,reliable,499,bank_error,1,33,26,2,0.84,0.99
P000330,C02711,reliable,499,authentication_failed,1,9,7,1,0.93,0.87
P000331,C09876,occasionally_late,499,authentication_failed,1,15,15,2,1.2,0.48
P000332,C03460,frequent_failure,499,insufficient_funds,1,15,2,3,5.74,0.37
P000333,C07085,occasionally_late,499,bank_error,2,24,19,3,1.08,0.45
P000334,C08872,reliable,499,bank_error,1,18,36,0,0.88,0.88
P000335,C03200,churn_risk,499,insufficient_funds,1,3,6,4,8.68,0.06
P000336,C02489,occasionally_late,499,bank_error,1,4,18,3,1.94,0.65
P000337,C08323,frequent_failure,499,payment_method_issue,1,7,3,5,7.1,0.26
P000338,C05730,reliable,499,bank_error,1,8,11,0,0.95,0.81
P000339,C03500,reliable,499,bank_error,1,22,24,1,0.6,0.99
P000340,C09433,reliable,499,payment_method_issue,1,17,28,1,0.38,0.74
P000341,C01343,occasionally_late,499,payment_method_issue,1,20,9,2,2.06,0.64
P000342,C03222,reliable,499,bank_error,1,9,33,0,0.82,0.99
P000343,C00534,reliable,499,bank_error,2,13,12,1,0.74,0.99
P000344,C01302,frequent_failure,499,authentication_failed,1,19,8,6,3.63,0.36
P000345,C05604,churn_risk,499,payment_method_issue,1,7,1,4,5.69,0.12
P000346,C03350,reliable,499,authentication_failed,1,32,26,1,0.62,0.75
P000347,C03289,frequent_failure,499,authentication_failed,2,14,1,4,3.08,0.29
P000348,C01089,occasionally_late,499,insufficient_funds,1,5,14,3,1.09,0.75
P000349,C05318,reliable,499,payment_method_issue,1,10,22,1,0.11,0.86
P000350,C02773,reliable,499,authentication_failed,2,13,21,2,0.46,0.83
P000351,C06399,churn_risk,499,bank_error,1,8,0,8,5.91,0.15
P000352,C04163,frequent_failure,499,payment_method_issue,1,16,4,7,6.32,0.49
P000353,C04396,frequent_failure,499,bank_error,1,10,1,6,3.7,0.4
P000354,C09238,reliable,499,authentication_failed,1,21,17,0,0.63,0.9
P000355,C00793,churn_risk,499,bank_error,1,9,3,6,8.06,0.06
P000356,C05169,reliable,499,bank_error,2,33,32,1,0.87,0.93
P000357,C07297,reliable,499,bank_error,2,10,27,2,0.78,0.9
P000358,C04467,reliable,499,bank_error,1,34,24,2,0.95,0.84
P000359,C02719,frequent_failure,499,bank_error,1,13,4,7,3.66,0.48
P000360,C09526,reliable,499,bank_error,1,24,22,0,0.81,0.71
P000361,C00798,reliable,499,payment_method_issue,1,27,34,2,0.87,0.73
P000362,C09473,reliable,499,payment_method_issue,2,35,14,0,0.44,0.77
P000363,C05038,churn_risk,499,bank_error,1,3,1,7,8.11,0.18
