customer_id,profile,subscription_months,successful_payments,failed_payments,avg_delay_days,reminder_success_rate,monthly_amount
C00104,occasionally_late,14,14,0,1.39,0.49,499
C00105,reliable,13,12,1,0.7,0.82,499
C00106,occasionally_late,21,19,2,1.67,0.74,499
C00107,reliable,27,27,0,0.12,0.84,499
C00108,reliable,19,19,0,0.32,0.73,499
C00109,occasionally_late,14,10,4,1.18,0.55,499
C00110,occasionally_late,23,20,3,2.11,0.62,499
C00111,reliable,29,29,0,0.06,0.74,499
C00112,occasionally_late,17,15,2,1.09,0.75,499
C00113,reliable,30,27,3,0.18,0.87,499
C00114,reliable,35,34,1,0.89,0.88,499
C00115,frequent_failure,15,10,5,5.92,0.41,499
C00116,occasionally_late,15,13,2,1.85,0.58,499
C00117,occasionally_late,16,15,1,3.8,0.45,499
C00118,reliable,21,21,0,0.19,0.79,499
C00119,frequent_failure,5,5,0,5.05,0.49,499
C00120,reliable,33,31,2,0.01,0.99,499
C00121,occasionally_late,5,4,1,2.71,0.55,499
C00122,reliable,27,25,2,0.2,0.92,499
C00123,occasionally_late,17,15,2,2.74,0.5,499
C00124,occasionally_late,4,4,0,2.36,0.64,499
C00125,reliable,13,12,1,0.25,0.9,499
C00126,occasionally_late,9,7,2,2.05,0.78,499
C00127,churn_risk,5,1,4,14.38,0.1,499
C00128,occasionally_late,11,8,3,3.25,0.73,499
C00129,reliable,24,21,3,0.52,0.81,499
C00130,reliable,13,12,1,0.71,0.97,499
C00131,occasionally_late,18,15,3,2.07,0.59,499
C00132,reliable,13,12,1,0.12,0.98,499
C00133,reliable,25,22,3,0.62,0.86,499
C00134,frequent_failure,8,7,1,6.53,0.42,499
C00135,reliable,7,6,1,0.88,0.8,499
C00136,reliable,9,9,0,0.6,0.85,499
C00137,reliable,9,8,1,0.72,0.89,499
C00138,occasionally_late,14,13,1,3.48,0.79,499
C00139,reliable,28,27,1,0.95,0.75,499
C00140,occasionally_late,4,4,0,3.62,0.78,499
C00141,occasionally_late,8,7,1,1.46,0.65,499
C00142,reliable,34,34,0,0.84,0.97,499
C00143,reliable,31,27,4,0.12,0.98,499
C00144,occasionally_late,11,10,1,2.14,0.71,499
C00145,frequent_failure,11,7,4,5.07,0.45,499
C00146,reliable,32,30,2,0.45,0.77,499
C00147,reliable,29,28,1,0.17,0.71,499
C00148,frequent_failure,13,10,3,3.07,0.38,499
C00149,churn_risk,1,1,0,13.61,0.18,499
C00150,reliable,18,18,0,0.43,0.94,499
C00151,reliable,22,22,0,0.47,0.87,499
C00152,frequent_failure,17,12,5,5.67,0.32,499
C00153,frequent_failure,6,5,1,7.31,0.48,499
C00154,reliable,19,17,2,0.8,0.99,499
C00155,frequent_failure,10,7,3,4.11,0.23,499
C00156,reliable,27,26,1,0.57,0.97,499
C00157,occasionally_late,6,5,1,3.17,0.75,499
C00158,reliable,10,10,0,0.41,0.8,499
C00159,occasionally_late,4,4,0,1.08,0.51,499
C00160,reliable,7,6,1,0.62,0.8,499
C00161,reliable,28,27,1,0.62,0.82,499
C00162,reliable,17,17,0,0.97,0.93,499
C00163,occasionally_late,17,15,2,1.55,0.62,499
C00164,occasionally_late,5,3,2,1.77,0.5,499
C00165,churn_risk,10,6,4,11.91,0.22,499
C00166,occasionally_late,13,11,2,1.82,0.64,499
C00167,frequent_failure,12,8,4,4.32,0.24,499
C00168,reliable,18,17,1,0.18,0.97,499
C00169,reliable,31,31,0,0.35,0.99,499
C00170,reliable,24,24,0,0.39,0.79,499
C00171,occasionally_late,10,6,4,3.85,0.59,499
C00172,reliable,29,28,1,0.03,0.78,499
C00173,reliable,35,33,2,0.15,0.89,499
C00174,reliable,13,13,0,0.5,0.91,499
C00175,reliable,8,8,0,0.0,0.99,499
C00176,reliable,10,9,1,0.92,0.74,499
C00177,reliable,20,20,0,0.96,0.93,499
C00178,frequent_failure,7,5,2,7.25,0.24,499
C00179,reliable,31,31,0,0.67,0.71,499
C00180,churn_risk,10,4,6,14.15,0.06,499
C00181,reliable,21,20,1,0.42,0.94,499
C00182,reliable,8,8,0,0.83,0.71,499
C00183,reliable,33,32,1,0.88,0.86,499
C00184,reliable,12,12,0,0.54,0.94,499
C00185,occasionally_late,19,17,2,3.63,0.6,499
C00186,churn_risk,11,6,5,10.29,0.28,499
C00187,churn_risk,4,3,1,5.89,0.06,499
C00188,occasionally_late,15,12,3,3.3,0.6,499
C00189,occasionally_late,20,19,1,2.06,0.55,499
C00190,reliable,30,30,0,0.91,0.71,499
C00191,reliable,9,9,0,0.95,0.94,499
C00192,reliable,29,23,6,0.6,0.97,499
C00193,occasionally_late,7,6,1,3.83,0.68,499
C00194,occasionally_late,13,10,3,2.15,0.46,499
C00195,frequent_failure,7,4,3,7.85,0.46,499
C00196,churn_risk,11,8,3,12.58,0.22,499
C00197,frequent_failure,8,4,4,6.74,0.16,499
C00198,frequent_failure,13,6,7,4.33,0.2,499
C00199,churn_risk,10,2,8,11.55,0.19,499
C00200,reliable,20,20,0,0.7,0.71,499
C00201,churn_risk,5,2,3,5.62,0.27,499
C00202,churn_risk,3,2,1,11.78,0.19,499
C00203,frequent_failure,18,11,7,7.25,0.45,499
C00204,frequent_failure,12,8,4,6.49,0.22,499
C00205,churn_risk,9,6,3,13.26,0.08,499
C00206,occasionally_late,21,21,0,3.5,0.63,499
C00207,reliable,19,19,0,0.56,0.73,499
C00208,reliable,18,17,1,0.11,0.93,499
C00209,churn_risk,5,5,0,14.37,0.22,499
C00210,reliable,22,22,0,0.71,0.84,499
C00211,reliable,23,21,2,0.97,0.99,499
C00212,reliable,34,33,1,0.07,0.95,499
C00213,frequent_failure,13,4,9,5.23,0.25,499
C00214,reliable,18,17,1,0.53,0.95,499
C00215,frequent_failure,17,8,9,6.27,0.25,499
C00216,reliable,33,28,5,0.91,0.96,499
C00217,frequent_failure,7,5,2,5.05,0.46,499
C00218,reliable,22,21,1,0.37,0.96,499
C00219,churn_risk,9,5,4,12.77,0.24,499
C00220,frequent_failure,5,1,4,4.47,0.47,499
C00221,reliable,20,19,1,0.12,0.74,499
C00222,reliable,11,11,0,0.16,0.9,499
C00223,occasionally_late,11,11,0,2.37,0.45,499
C00224,reliable,19,17,2,0.72,0.9,499
C00225,churn_risk,9,7,2,9.81,0.08,499
C00226,churn_risk,6,0,6,12.02,0.19,499
C00227,reliable,7,6,1,0.88,0.72,499
C00228,reliable,12,11,1,0.57,0.91,499
C00229,reliable,28,25,3,0.95,0.74,499
C00230,occasionally_late,12,10,2,2.62,0.7,499
C00231,occasionally_late,23,18,5,3.44,0.48,499
C00232,occasionally_late,6,5,1,1.49,0.6,499
C00233,occasionally_late,15,11,4,3.62,0.53,499
C00234,reliable,13,13,0,0.43,0.71,499
C00235,reliable,24,23,1,1.0,0.99,499
C00236,reliable,8,7,1,0.42,0.76,499
C00237,reliable,26,25,1,0.74,0.83,499
C00238,reliable,25,24,1,0.54,0.85,499
C00239,reliable,7,7,0,0.87,0.97,499
C00240,reliable,24,24,0,0.36,0.82,499
C00241,frequent_failure,3,3,0,6.58,0.47,499
C00242,reliable,19,18,1,0.41,0.72,499
C00243,reliable,34,32,2,0.51,0.81,499
C00244,reliable,32,32,0,0.4,0.96,499
C00245,occasionally_late,15,14,1,3.91,0.61,499
C00246,reliable,19,19,0,0.45,0.9,499
C00247,reliable,13,13,0,0.71,0.75,499
C00248,reliable,10,9,1,0.53,0.93,499
C00249,reliable,20,19,1,0.21,0.73,499
C00250,reliable,36,36,0,0.05,0.89,499
C00251,reliable,32,32,0,0.51,0.71,499
C00252,churn_risk,8,6,2,5.17,0.13,499
C00253,occasionally_late,18,17,1,2.03,0.64,499
C00254,reliable,25,21,4,0.2,0.9,499
C00255,reliable,13,13,0,0.23,0.99,499
C00256,occasionally_late,14,10,4,2.49,0.67,499
C00257,occasionally_late,15,13,2,3.39,0.77,499
C00258,churn_risk,5,1,4,10.77,0.14,499
C00259,occasionally_late,12,11,1,3.98,0.71,499
C00260,reliable,16,15,1,0.4,0.8,499
C00261,frequent_failure,15,12,3,5.18,0.44,499
C00262,occasionally_late,24,20,4,2.1,0.59,499
C00263,reliable,30,30,0,0.55,0.83,499
C00264,occasionally_late,11,10,1,2.86,0.61,499
C00265,frequent_failure,18,14,4,7.57,0.43,499
C00266,reliable,21,19,2,0.53,0.88,499
C00267,frequent_failure,14,13,1,3.09,0.22,499
C00268,occasionally_late,18,14,4,3.78,0.47,499
C00269,reliable,7,7,0,0.62,0.86,499
C00270,churn_risk,3,2,1,5.9,0.23,499
C00271,churn_risk,10,8,2,6.81,0.22,499
C00272,occasionally_late,10,7,3,3.38,0.51,499
C00273,reliable,27,25,2,0.55,0.71,499
C00274,churn_risk,7,5,2,10.15,0.2,499
C00275,occasionally_late,13,10,3,2.06,0.53,499
C00276,reliable,24,22,2,0.67,0.94,499
C00277,reliable,28,25,3,0.17,0.92,499
C00278,reliable,22,22,0,0.31,0.77,499
C00279,occasionally_late,12,8,4,2.78,0.62,499
C00280,reliable,26,24,2,0.44,0.83,499
C00281,reliable,29,28,1,0.1,0.92,499
C00282,reliable,19,19,0,0.65,0.88,499
C00283,reliable,11,11,0,0.07,0.86,499
C00284,frequent_failure,10,7,3,6.25,0.34,499
C00285,reliable,11,9,2,0.38,0.81,499
C00286,reliable,25,25,0,0.56,0.99,499
C00287,occasionally_late,19,19,0,2.27,0.74,499
C00288,reliable,13,13,0,0.93,0.77,499
C00289,reliable,10,9,1,0.77,0.77,499
C00290,reliable,27,26,1,0.76,0.74,499
C00291,frequent_failure,4,4,0,3.59,0.23,499
C00292,reliable,7,7,0,0.55,0.79,499
C00293,reliable,9,8,1,0.16,0.94,499
C00294,occasionally_late,23,19,4,3.79,0.49,499
C00295,reliable,29,29,0,0.72,0.74,499
C00296,frequent_failure,17,13,4,3.87,0.39,499
C00297,churn_risk,10,7,3,6.33,0.27,499
C00298,reliable,19,16,3,0.83,0.8,499
C00299,frequent_failure,15,13,2,3.34,0.16,499
C00300,churn_risk,4,3,1,6.06,0.21,499
C00301,occasionally_late,22,21,1,2.69,0.52,499
C00302,reliable,23,23,0,0.7,1.0,499
C00303,reliable,14,13,1,0.27,0.75,499
C00304,occasionally_late,7,6,1,3.44,0.67,499
C00305,occasionally_late,9,8,1,1.39,0.76,499
C00306,reliable,12,12,0,0.48,0.75,499
C00307,churn_risk,7,5,2,9.81,0.05,499
C00308,frequent_failure,9,6,3,4.62,0.44,499
C00309,reliable,10,9,1,0.49,0.73,499
C00310,reliable,25,23,2,0.15,0.74,499
C00311,reliable,23,22,1,0.38,0.82,499
C00312,frequent_failure,15,9,6,3.51,0.38,499
C00313,frequent_failure,18,11,7,7.2,0.16,499
C00314,reliable,16,16,0,0.39,0.84,499
C00315,frequent_failure,15,11,4,6.69,0.33,499
C00316,reliable,30,30,0,0.66,0.94,499
C00317,reliable,25,24,1,0.35,0.79,499
C00318,frequent_failure,9,6,3,4.77,0.29,499
C00319,frequent_failure,10,5,5,3.1,0.18,499
C00320,reliable,13,13,0,0.38,0.76,499
C00321,occasionally_late,17,14,3,3.88,0.62,499
C00322,reliable,9,9,0,0.98,0.88,499
C00323,occasionally_late,5,5,0,2.01,0.77,499
C00324,reliable,32,31,1,0.39,0.75,499
C00325,churn_risk,3,2,1,11.46,0.12,499
C00326,frequent_failure,19,16,3,5.72,0.37,499
C00327,churn_risk,8,5,3,6.81,0.06,499
C00328,frequent_failure,15,10,5,3.66,0.4,499
C00329,reliable,24,23,1,0.34,0.82,499
C00330,occasionally_late,6,4,2,2.7,0.69,499
C00331,occasionally_late,8,8,0,2.38,0.45,499
C00332,occasionally_late,4,3,1,1.58,0.76,499
C00333,reliable,26,25,1,0.62,0.76,499
C00334,frequent_failure,6,4,2,6.8,0.16,499
C00335,reliable,7,6,1,0.68,0.93,499
C00336,reliable,24,21,3,0.37,0.83,499
C00337,frequent_failure,5,5,0,6.32,0.15,499
C00338,reliable,19,18,1,0.79,0.73,499
C00339,reliable,19,17,2,0.1,0.77,499
C00340,reliable,29,26,3,0.8,0.78,499
C00341,reliable,19,17,2,0.7,0.92,499
C00342,reliable,9,9,0,0.44,0.74,499
C00343,reliable,23,22,1,0.06,0.94,499
C00344,occasionally_late,16,16,0,2.91,0.62,499
C00345,occasionally_late,18,14,4,2.15,0.65,499
C00346,reliable,34,31,3,0.17,0.91,499
C00347,occasionally_late,9,8,1,1.9,0.78,499
C00348,reliable,24,23,1,0.46,0.84,499
C00349,churn_risk,4,3,1,5.81,0.23,499
C00350,reliable,30,30,0,0.06,0.77,499
C00351,reliable,25,25,0,0.96,0.72,499
C00352,reliable,33,30,3,0.28,0.94,499
C00353,reliable,36,35,1,0.78,0.72,499
C00354,reliable,25,24,1,0.56,0.8,499
C00355,frequent_failure,8,2,6,3.11,0.38,499
C00356,occasionally_late,10,9,1,3.48,0.73,499
C00357,reliable,26,25,1,0.65,0.76,499
C00358,reliable,30,30,0,0.97,0.75,499
C00359,occasionally_late,13,9,4,3.05,0.64,499
C00360,reliable,33,31,2,0.07,0.91,499
C00361,reliable,11,10,1,0.43,0.74,499
C00362,reliable,15,14,1,0.41,0.9,499
C00363,reliable,13,12,1,0.36,0.99,499
C00364,reliable,12,11,1,0.54,0.93,499
C00365,reliable,13,13,0,0.88,0.96,499
C00366,reliable,31,31,0,0.56,0.87,499
C00367,reliable,17,16,1,0.5,0.73,499
C00368,frequent_failure,13,8,5,7.82,0.22,499
C00369,reliable,33,31,2,0.28,0.79,499
C00370,reliable,19,17,2,0.16,0.91,499
C00371,reliable,8,8,0,0.9,0.75,499
C00372,occasionally_late,11,9,2,2.96,0.5,499
C00373,occasionally_late,22,14,8,3.41,0.63,499
C00374,reliable,28,25,3,0.73,0.8,499
C00375,churn_risk,11,7,4,5.13,0.19,499
C00376,occasionally_late,5,5,0,2.14,0.79,499
C00377,reliable,11,11,0,0.71,0.79,499
C00378,frequent_failure,14,8,6,4.27,0.44,499
C00379,occasionally_late,19,17,2,3.48,0.49,499
C00380,reliable,14,13,1,0.19,0.88,499
C00381,occasionally_late,20,16,4,2.41,0.79,499
C00382,reliable,21,21,0,0.31,0.7,499
C00383,reliable,25,24,1,0.84,0.78,499
C00384,occasionally_late,18,17,1,1.64,0.46,499
C00385,occasionally_late,17,16,1,1.7,0.73,499
C00386,frequent_failure,3,2,1,3.0,0.21,499
C00387,reliable,19,15,4,0.55,0.81,499
C00388,reliable,25,24,1,0.42,0.71,499
C00389,reliable,30,28,2,0.91,0.93,499
C00390,reliable,12,11,1,0.56,0.89,499
C00391,occasionally_late,23,23,0,3.11,0.64,499
C00392,reliable,6,6,0,0.3,0.88,499
C00393,reliable,35,32,3,0.06,0.96,499
C00394,reliable,27,26,1,0.19,0.72,499
C00395,frequent_failure,14,10,4,7.98,0.45,499
C00396,reliable,25,25,0,0.49,0.92,499
C00397,reliable,8,8,0,0.88,0.87,499
C00398,reliable,17,16,1,0.46,0.74,499
C00399,reliable,27,25,2,0.63,0.88,499
C00400,reliable,12,11,1,0.23,0.94,499
C00401,reliable,29,27,2,0.74,0.85,499
C00402,reliable,30,29,1,0.04,0.88,499
C00403,reliable,15,15,0,0.33,0.84,499
C00404,occasionally_late,16,12,4,2.77,0.64,499
C00405,reliable,13,13,0,0.11,0.8,499
C00406,occasionally_late,13,13,0,3.8,0.59,499
C00407,occasionally_late,24,21,3,2.52,0.76,499
C00408,occasionally_late,22,20,2,3.79,0.51,499
C00409,occasionally_late,11,10,1,3.14,0.66,499
C00410,frequent_failure,9,9,0,6.61,0.45,499
C00411,occasionally_late,18,18,0,2.81,0.69,499
C00412,reliable,36,34,2,0.09,0.88,499
C00413,churn_risk,10,5,5,12.5,0.15,499
C00414,occasionally_late,22,16,6,1.03,0.67,499
C00415,occasionally_late,6,6,0,1.36,0.77,499
C00416,occasionally_late,11,9,2,3.08,0.64,499
C00417,reliable,20,20,0,0.12,0.87,499
C00418,occasionally_late,9,7,2,3.08,0.6,499
C00419,reliable,26,25,1,0.59,0.77,499
C00420,reliable,17,16,1,0.43,0.8,499
C00421,reliable,30,30,0,0.39,0.86,499
C00422,reliable,12,12,0,0.89,0.8,499
C00423,reliable,33,31,2,0.01,0.82,499
C00424,occasionally_late,20,18,2,2.82,0.58,499
C00425,churn_risk,1,1,0,6.67,0.29,499
C00426,churn_risk,3,0,3,8.84,0.06,499
C00427,reliable,15,15,0,0.31,0.74,499
C00428,reliable,31,30,1,0.96,0.79,499
C00429,occasionally_late,12,10,2,1.87,0.79,499
C00430,reliable,21,20,1,0.98,0.84,499
C00431,reliable,26,25,1,0.44,0.79,499
C00432,reliable,22,20,2,0.68,0.77,499
C00433,occasionally_late,4,3,1,1.42,0.61,499
C00434,reliable,24,23,1,0.73,0.79,499
C00435,frequent_failure,7,4,3,3.74,0.45,499
C00436,churn_risk,11,6,5,12.22,0.18,499
C00437,reliable,16,15,1,0.06,0.9,499
C00438,reliable,11,11,0,0.46,0.99,499
C00439,frequent_failure,6,5,1,4.02,0.42,499
C00440,occasionally_late,22,19,3,3.6,0.79,499
C00441,frequent_failure,17,14,3,7.78,0.22,499
C00442,frequent_failure,19,14,5,4.49,0.23,499
C00443,reliable,10,10,0,0.63,0.98,499
C00444,reliable,34,34,0,0.87,0.86,499
C00445,occasionally_late,15,10,5,1.84,0.52,499
C00446,reliable,24,24,0,0.99,0.73,499
C00447,reliable,9,8,1,0.74,0.74,499
C00448,frequent_failure,11,9,2,7.23,0.36,499
C00449,reliable,19,19,0,0.69,0.71,499
C00450,occasionally_late,17,11,6,3.84,0.48,499
C00451,occasionally_late,19,17,2,1.34,0.74,499
C00452,reliable,7,7,0,0.4,0.79,499
C00453,reliable,13,13,0,0.15,0.78,499
C00454,occasionally_late,10,9,1,2.92,0.79,499
C00455,reliable,30,27,3,0.19,0.92,499
C00456,reliable,9,9,0,0.07,0.9,499
C00457,occasionally_late,23,22,1,1.87,0.65,499
C00458,churn_risk,8,6,2,9.97,0.12,499
C00459,occasionally_late,14,13,1,2.21,0.49,499
C00460,frequent_failure,8,6,2,5.92,0.31,499
C00461,churn_risk,11,7,4,6.3,0.19,499
C00462,occasionally_late,21,18,3,2.3,0.77,499
C00463,churn_risk,5,1,4,5.42,0.19,499
C00464,frequent_failure,12,11,1,4.27,0.46,499
C00465,reliable,16,16,0,0.7,0.79,499
C00466,frequent_failure,14,9,5,3.52,0.32,499
C00467,frequent_failure,5,4,1,4.04,0.28,499
C00468,reliable,14,14,0,0.55,0.82,499
C00469,reliable,11,10,1,0.88,0.76,499
C00470,occasionally_late,5,4,1,3.79,0.49,499
C00471,churn_risk,5,1,4,9.68,0.19,499
C00472,reliable,18,18,0,0.11,0.85,499
C00473,frequent_failure,16,11,5,7.56,0.44,499
C00474,churn_risk,3,1,2,9.04,0.18,499
C00475,reliable,16,14,2,0.04,0.82,499
C00476,reliable,21,21,0,0.52,0.99,499
C00477,reliable,32,31,1,0.37,0.75,499
C00478,reliable,30,29,1,0.52,0.8,499
C00479,reliable,16,15,1,0.55,0.96,499
C00480,occasionally_late,11,10,1,3.34,0.61,499
C00481,reliable,8,8,0,0.94,0.88,499
C00482,reliable,17,17,0,0.96,0.98,499
C00483,churn_risk,2,0,2,10.61,0.24,499
C00484,occasionally_late,10,9,1,2.87,0.72,499
C00485,reliable,26,25,1,0.91,0.75,499
C00486,frequent_failure,17,8,9,4.45,0.31,499
C00487,occasionally_late,21,19,2,3.79,0.62,499
C00488,reliable,6,6,0,0.53,0.77,499
C00489,occasionally_late,8,7,1,3.79,0.72,499
C00490,reliable,36,36,0,0.17,0.83,499
C00491,reliable,6,6,0,0.99,0.86,499
C00492,occasionally_late,12,10,2,3.85,0.8,499
C00493,churn_risk,9,7,2,9.59,0.28,499
C00494,reliable,23,19,4,0.19,0.94,499
C00495,churn_risk,11,7,4,14.53,0.29,499
C00496,frequent_failure,6,6,0,6.2,0.38,499
C00497,occasionally_late,15,12,3,1.03,0.57,499
C00498,reliable,16,16,0,0.81,0.75,499
C00499,frequent_failure,7,7,0,5.01,0.46,499
C00500,churn_risk,6,5,1,14.2,0.3,499
C00501,frequent_failure,19,16,3,3.45,0.16,499
C00502,reliable,31,30,1,0.79,0.78,499
C00503,reliable,9,7,2,0.9,0.96,499
C00504,reliable,32,32,0,0.04,0.71,499
C00505,frequent_failure,15,11,4,5.16,0.4,499
C00506,reliable,17,15,2,0.28,0.81,499
C00507,churn_risk,8,3,5,12.63,0.26,499
C00508,occasionally_late,16,12,4,1.56,0.57,499
C00509,reliable,30,29,1,0.3,0.96,499
C00510,reliable,32,29,3,0.33,0.91,499
C00511,occasionally_late,6,6,0,2.39,0.47,499
C00512,churn_risk,5,2,3,5.0,0.15,499
C00513,reliable,15,15,0,0.2,0.7,499
C00514,frequent_failure,17,12,5,4.55,0.41,499
C00515,reliable,18,17,1,0.3,0.8,499
C00516,frequent_failure,16,13,3,4.68,0.5,499
C00517,reliable,27,27,0,0.59,0.9,499
C00518,occasionally_late,13,13,0,1.81,0.63,499
C00519,occasionally_late,20,16,4,1.89,0.7,499
C00520,reliable,6,6,0,0.17,0.99,499
C00521,reliable,20,18,2,0.46,0.98,499
C00522,occasionally_late,20,19,1,1.16,0.5,499
C00523,occasionally_late,24,19,5,3.1,0.7,499
C00524,churn_risk,1,1,0,9.83,0.18,499
C00525,churn_risk,1,0,1,13.39,0.05,499
C00526,churn_risk,7,4,3,12.05,0.25,499
C00527,churn_risk,3,3,0,8.09,0.17,499
C00528,churn_risk,3,2,1,7.27,0.27,499
C00529,occasionally_late,15,12,3,3.61,0.69,499
C00530,reliable,29,26,3,0.85,0.99,499
C00531,reliable,13,13,0,0.55,0.79,499
C00532,reliable,22,20,2,0.43,0.96,499
C00533,reliable,6,6,0,0.43,0.91,499
C00534,reliable,20,19,1,0.98,0.94,499
C00535,reliable,28,28,0,0.75,0.73,499
C00536,reliable,15,12,3,0.01,0.84,499
C00537,reliable,31,30,1,0.4,0.92,499
C00538,reliable,32,31,1,0.07,0.88,499
C00539,occasionally_late,5,4,1,2.97,0.79,499
C00540,reliable,34,31,3,0.07,0.83,499
C00541,reliable,8,6,2,0.27,0.7,499
C00542,reliable,15,15,0,0.67,0.88,499
C00543,reliable,7,7,0,0.95,0.73,499
C00544,churn_risk,6,3,3,5.07,0.24,499
C00545,reliable,18,18,0,0.02,0.87,499
C00546,reliable,6,6,0,0.73,0.89,499
C00547,reliable,11,11,0,0.01,0.83,499
C00548,occasionally_late,18,18,0,2.3,0.7,499
