payment_id,failure_reason,selected_action,ml_probability,net_value,recovered,reason_policy_action,policy_match
P000565,insufficient_funds,REMINDER,0.7782085,59.62919169664383,1,WAIT,False
P000566,authentication_failed,PAYMENT_LINK,0.9415012,108.18695414066315,1,PAYMENT_LINK,True
P000568,bank_error,RETRY,0.796496,58.60489112138748,0,RETRY,True
P000569,authentication_failed,PAYMENT_LINK,0.91682833,189.64452493190765,1,PAYMENT_LINK,True
P000573,bank_error,RETRY,0.71953195,65.46142035722733,0,RETRY,True
P000582,payment_method_issue,PAYMENT_LINK,0.91154075,155.9007870554924,1,PAYMENT_LINK,True
P000595,authentication_failed,PAYMENT_LINK,0.847698,191.8100178539753,1,PAYMENT_LINK,True
P000599,bank_error,RETRY,0.80965537,82.79387015104294,1,RETRY,True
P000600,bank_error,RETRY,0.87250745,62.14302533864975,0,RETRY,True
P000602,insufficient_funds,WAIT,0.6259031,0.0,0,WAIT,True
P000603,bank_error,PAYMENT_LINK,0.83236724,46.51953339576721,1,RETRY,False
P000606,insufficient_funds,PAYMENT_LINK,0.81932706,38.591284811496735,1,WAIT,False
P000611,bank_error,RETRY,0.8978085,38.974013328552246,1,RETRY,True
P000613,bank_error,RETRY,0.735248,45.39305692911148,0,RETRY,True
P000622,authentication_failed,PAYMENT_LINK,0.85642254,207.2944931089878,1,PAYMENT_LINK,True
P000645,bank_error,RETRY,0.8536314,64.41114550828934,1,RETRY,True
P000651,authentication_failed,PAYMENT_LINK,0.8999184,204.1614547073841,1,PAYMENT_LINK,True
P000652,bank_error,RETRY,0.848603,57.02727788686752,1,RETRY,True
P000671,authentication_failed,PAYMENT_LINK,0.8201568,258.38940382003784,1,PAYMENT_LINK,True
P000677,insufficient_funds,WAIT,0.6292407,0.0,1,WAIT,True
P000679,bank_error,RETRY,0.7348751,77.52039706707001,1,RETRY,True
P000680,insufficient_funds,REMINDER,0.81558734,65.57205438613892,1,WAIT,False
P000681,payment_method_issue,PAYMENT_LINK,0.81360537,170.68740892410278,0,PAYMENT_LINK,True
P000686,bank_error,RETRY,0.83434916,55.842030584812164,0,RETRY,True
P000692,bank_error,RETRY,0.868038,60.60839033126831,1,RETRY,True
P000694,authentication_failed,PAYMENT_LINK,0.8680033,163.92900091409683,1,PAYMENT_LINK,True
P000696,insufficient_funds,REMINDER,0.8980696,45.7875554561615,1,WAIT,False
P000706,insufficient_funds,REMINDER,0.8278724,36.199603736400604,1,WAIT,False
P000719,authentication_failed,PAYMENT_LINK,0.9394739,104.02107012271881,1,PAYMENT_LINK,True
P000728,authentication_failed,PAYMENT_LINK,0.8812934,132.84884238243103,1,PAYMENT_LINK,True
P000730,bank_error,RETRY,0.40355226,83.38666482269764,0,RETRY,True
P000742,insufficient_funds,REMINDER,0.82585955,23.53229922056198,1,WAIT,False
P000747,bank_error,RETRY,0.71858793,60.30198085308075,1,RETRY,True
P000756,payment_method_issue,PAYMENT_LINK,0.81509715,166.65344873070717,1,PAYMENT_LINK,True
P000760,bank_error,RETRY,0.9163096,46.04448193311691,1,RETRY,True
P000762,bank_error,RETRY,0.8407227,64.50421047210693,1,RETRY,True
P000765,bank_error,RETRY,0.8351498,41.773546636104584,1,RETRY,True
P000766,insufficient_funds,WAIT,0.69019765,0.0,1,WAIT,True
P000773,bank_error,RETRY,0.7008852,164.13795760273933,1,RETRY,True
P000782,insufficient_funds,REMINDER,0.8168164,31.859100222587585,1,WAIT,False
P000784,insufficient_funds,REMINDER,0.7562877,27.39944738149643,1,WAIT,False
P000786,authentication_failed,PAYMENT_LINK,0.8967692,191.65168249607086,1,PAYMENT_LINK,True
P000788,payment_method_issue,PAYMENT_LINK,0.8642934,122.55363857746124,1,PAYMENT_LINK,True
P000790,payment_method_issue,PAYMENT_LINK,0.80015576,174.1580866575241,1,PAYMENT_LINK,True
P000795,bank_error,RETRY,0.69389075,11.777658879756927,1,RETRY,True
P000799,insufficient_funds,PAYMENT_LINK,0.6286443,39.47836136817932,0,WAIT,False
P000808,insufficient_funds,REMINDER,0.82610697,22.74572330713272,1,WAIT,False
P000810,authentication_failed,PAYMENT_LINK,0.9182358,160.0775271654129,1,PAYMENT_LINK,True
P000811,bank_error,RETRY,0.83198476,41.46841609477997,0,RETRY,True
P000813,insufficient_funds,WAIT,0.79234755,0.0,1,WAIT,True
P000818,insufficient_funds,WAIT,0.7021597,0.0,1,WAIT,True
P000832,bank_error,REMINDER,0.8197651,34.616071701049805,1,RETRY,False
P000841,insufficient_funds,REMINDER,0.8371096,62.442971765995026,0,WAIT,False
P000843,bank_error,RETRY,0.8430197,73.34942704439163,0,RETRY,True
P000845,bank_error,PAYMENT_LINK,0.8104277,20.03435707092285,1,RETRY,False
P000846,authentication_failed,PAYMENT_LINK,0.8688196,227.39157313108444,1,PAYMENT_LINK,True
P000848,insufficient_funds,PAYMENT_LINK,0.5920487,41.20055395364761,0,WAIT,False
P000858,payment_method_issue,PAYMENT_LINK,0.8131366,147.73682743310928,1,PAYMENT_LINK,True
P000860,insufficient_funds,REMINDER,0.81557477,74.9166214466095,0,WAIT,False
P000863,payment_method_issue,PAYMENT_LINK,0.6877326,174.60552123188972,1,PAYMENT_LINK,True
P000865,insufficient_funds,REMINDER,0.8050794,64.2584969997406,1,WAIT,False
P000868,bank_error,RETRY,0.8687643,61.388274133205414,1,RETRY,True
P000875,authentication_failed,PAYMENT_LINK,0.91704094,181.6105409860611,0,PAYMENT_LINK,True
P000880,bank_error,RETRY,0.76516354,117.1242236495018,1,RETRY,True
P000882,insufficient_funds,REMINDER,0.6837012,57.14044004678726,1,WAIT,False
P000898,authentication_failed,PAYMENT_LINK,0.84818745,214.33856505155563,1,PAYMENT_LINK,True
P000901,authentication_failed,PAYMENT_LINK,0.8570299,196.06968066096306,1,PAYMENT_LINK,True
P000904,bank_error,RETRY,0.7730684,35.320239424705505,1,RETRY,True
P000908,bank_error,RETRY,0.6820992,44.769084453582764,1,RETRY,True
P000912,bank_error,PAYMENT_LINK,0.6025764,26.320539951324463,1,RETRY,False
P000913,payment_method_issue,PAYMENT_LINK,0.8499713,211.6786738038063,1,PAYMENT_LINK,True
P000927,payment_method_issue,PAYMENT_LINK,0.884375,198.6304096877575,1,PAYMENT_LINK,True
P000928,payment_method_issue,PAYMENT_LINK,0.90181136,140.41744202375412,1,PAYMENT_LINK,True
P000930,payment_method_issue,PAYMENT_LINK,0.821893,207.4983348250389,1,PAYMENT_LINK,True
P000931,authentication_failed,PAYMENT_LINK,0.87490696,244.25469771027565,1,PAYMENT_LINK,True
P000933,payment_method_issue,PAYMENT_LINK,0.8608162,203.4821459054947,1,PAYMENT_LINK,True
P000943,authentication_failed,PAYMENT_LINK,0.9158107,131.07959681749344,1,PAYMENT_LINK,True
P000946,payment_method_issue,PAYMENT_LINK,0.9516907,207.88832134008408,1,PAYMENT_LINK,True
P000950,payment_method_issue,PAYMENT_LINK,0.70211405,198.96718648076057,1,PAYMENT_LINK,True
P000953,bank_error,RETRY,0.73485374,67.78849059343338,1,RETRY,True
P000959,payment_method_issue,PAYMENT_LINK,0.84595346,223.13962855935097,1,PAYMENT_LINK,True
P000966,authentication_failed,PAYMENT_LINK,0.8977267,170.12684792280197,1,PAYMENT_LINK,True
P000979,bank_error,RETRY,0.7869677,72.05781978368759,1,RETRY,True
P000980,payment_method_issue,PAYMENT_LINK,0.80777746,140.0946443080902,1,PAYMENT_LINK,True
P000999,bank_error,PAYMENT_LINK,0.585305,10.791153192520142,0,RETRY,False
P001002,payment_method_issue,PAYMENT_LINK,0.8382452,148.81042057275772,1,PAYMENT_LINK,True
P001006,payment_method_issue,PAYMENT_LINK,0.86576194,192.86500692367554,1,PAYMENT_LINK,True
P001026,authentication_failed,PAYMENT_LINK,0.8624956,264.9997823238373,1,PAYMENT_LINK,True
P001028,bank_error,RETRY,0.89047045,51.60866034030914,1,RETRY,True
P001035,insufficient_funds,WAIT,0.734492,0.0,0,WAIT,True
P001037,insufficient_funds,REMINDER,0.7524449,33.065226912498474,0,WAIT,False
P001042,payment_method_issue,PAYMENT_LINK,0.77410674,141.76899573206902,1,PAYMENT_LINK,True
P001045,payment_method_issue,PAYMENT_LINK,0.88059896,130.32279336452484,1,PAYMENT_LINK,True
P001048,payment_method_issue,PAYMENT_LINK,0.6789401,178.18235072493553,1,PAYMENT_LINK,True
P001056,bank_error,RETRY,0.8899267,33.954691767692566,0,RETRY,True
P001058,payment_method_issue,PAYMENT_LINK,0.7759636,175.5124510526657,1,PAYMENT_LINK,True
P001065,insufficient_funds,REMINDER,0.7987267,22.936344385147095,1,WAIT,False
P001074,authentication_failed,PAYMENT_LINK,0.92921436,121.59381133317947,1,PAYMENT_LINK,True
P001079,bank_error,RETRY,0.82043016,40.001772940158844,1,RETRY,True
P001081,bank_error,RETRY,0.8100535,76.8346192240715,0,RETRY,True
P001085,payment_method_issue,REMINDER,0.8448828,124.2024462223053,1,PAYMENT_LINK,False
P001090,bank_error,RETRY,0.9001932,45.04506713151932,1,RETRY,True
P001091,payment_method_issue,PAYMENT_LINK,0.74870354,121.81640583276749,0,PAYMENT_LINK,True
P001095,payment_method_issue,PAYMENT_LINK,0.856966,179.39977964758873,1,PAYMENT_LINK,True
P001101,bank_error,PAYMENT_LINK,0.45047694,18.890154719352722,0,RETRY,False
P001103,payment_method_issue,PAYMENT_LINK,0.7777777,143.74809104204178,1,PAYMENT_LINK,True
P001104,insufficient_funds,WAIT,0.5814516,0.0,0,WAIT,True
P001106,payment_method_issue,PAYMENT_LINK,0.8932847,174.84338861703873,1,PAYMENT_LINK,True
P001107,insufficient_funds,WAIT,0.48084432,0.0,1,WAIT,True
P001117,authentication_failed,PAYMENT_LINK,0.9070421,201.69483163952827,1,PAYMENT_LINK,True
P001118,insufficient_funds,PAYMENT_LINK,0.61684054,53.71712237596512,1,WAIT,False
P001124,payment_method_issue,PAYMENT_LINK,0.82133234,156.99478369951248,1,PAYMENT_LINK,True
P001129,bank_error,RETRY,0.83843255,36.52446258068085,1,RETRY,True
P001135,authentication_failed,PAYMENT_LINK,0.8755546,176.85307431221008,0,PAYMENT_LINK,True
P001152,payment_method_issue,PAYMENT_LINK,0.93998873,120.35119032859802,1,PAYMENT_LINK,True
P001162,bank_error,RETRY,0.8457904,97.76700860261917,1,RETRY,True
P001175,insufficient_funds,WAIT,0.7932425,0.0,1,WAIT,True
P001178,bank_error,RETRY,0.668901,64.09313637018204,1,RETRY,True
P001179,payment_method_issue,PAYMENT_LINK,0.7810568,172.45962876081467,1,PAYMENT_LINK,True
P001191,insufficient_funds,WAIT,0.5258058,0.0,0,WAIT,True
P001193,payment_method_issue,PAYMENT_LINK,0.8947816,142.44330775737762,1,PAYMENT_LINK,True
P001196,insufficient_funds,WAIT,0.63483065,0.0,0,WAIT,True
P001201,payment_method_issue,PAYMENT_LINK,0.83239275,205.8733860552311,1,PAYMENT_LINK,True
P001205,payment_method_issue,PAYMENT_LINK,0.85794187,168.0539589524269,1,PAYMENT_LINK,True
P001211,bank_error,PAYMENT_LINK,0.7198935,19.107276558876038,0,RETRY,False
P001212,authentication_failed,PAYMENT_LINK,0.86278933,254.95997923612595,1,PAYMENT_LINK,True
P001217,authentication_failed,PAYMENT_LINK,0.8805404,262.63267838954926,1,PAYMENT_LINK,True
P001223,insufficient_funds,PAYMENT_LINK,0.51282257,35.920091331005096,0,WAIT,False
P001227,insufficient_funds,REMINDER,0.79742616,27.600567638874054,1,WAIT,False
P001229,bank_error,RETRY,0.9042688,98.45106136798859,1,RETRY,True
P001230,authentication_failed,PAYMENT_LINK,0.9251855,156.6832287311554,1,PAYMENT_LINK,True
P001231,authentication_failed,PAYMENT_LINK,0.8630182,182.7129696905613,1,PAYMENT_LINK,True
P001232,payment_method_issue,PAYMENT_LINK,0.90631014,163.9034816622734,1,PAYMENT_LINK,True
P001242,bank_error,RETRY,0.5786998,99.36953136324883,1,RETRY,True
P001262,payment_method_issue,PAYMENT_LINK,0.8908226,200.3481111228466,0,PAYMENT_LINK,True
P001264,bank_error,RETRY,0.80228096,60.546614706516266,1,RETRY,True
P001265,payment_method_issue,PAYMENT_LINK,0.87294805,164.15317177772522,1,PAYMENT_LINK,True
P001269,bank_error,RETRY,0.84348243,41.17854356765747,1,RETRY,True
P001270,payment_method_issue,PAYMENT_LINK,0.79085416,151.7455211877823,1,PAYMENT_LINK,True
P001271,insufficient_funds,REMINDER,0.8273772,28.17207396030426,1,WAIT,False
P001273,payment_method_issue,PAYMENT_LINK,0.79776996,140.41613334417343,1,PAYMENT_LINK,True
P001274,payment_method_issue,PAYMENT_LINK,0.6905934,168.01881793141365,1,PAYMENT_LINK,True
P001293,bank_error,RETRY,0.8049555,43.77469617128372,1,RETRY,True
P001299,insufficient_funds,WAIT,0.64049107,0.0,0,WAIT,True
P001300,insufficient_funds,REMINDER,0.85492337,29.36966449022293,0,WAIT,False
P001303,authentication_failed,PAYMENT_LINK,0.81476116,224.93008068203926,1,PAYMENT_LINK,True
P001308,insufficient_funds,WAIT,0.64865,0.0,1,WAIT,True
P001317,bank_error,RETRY,0.8818366,127.31214547157288,1,RETRY,True
P001322,payment_method_issue,PAYMENT_LINK,0.8632247,175.0745490193367,1,PAYMENT_LINK,True
P001323,payment_method_issue,PAYMENT_LINK,0.87510765,155.8283635377884,1,PAYMENT_LINK,True
P001324,bank_error,RETRY,0.86979914,14.12355625629425,1,RETRY,True
P001331,authentication_failed,PAYMENT_LINK,0.83532685,176.11249551177025,1,PAYMENT_LINK,True
P001337,payment_method_issue,PAYMENT_LINK,0.79976386,186.5911375284195,1,PAYMENT_LINK,True
P001346,payment_method_issue,PAYMENT_LINK,0.88573045,157.0434427857399,0,PAYMENT_LINK,True
P001352,authentication_failed,PAYMENT_LINK,0.894889,175.5711334347725,1,PAYMENT_LINK,True
P001360,bank_error,RETRY,0.8358347,61.056047976017,0,RETRY,True
P001361,payment_method_issue,PAYMENT_LINK,0.8540039,224.2971705198288,1,PAYMENT_LINK,True
P001362,insufficient_funds,PAYMENT_LINK,0.5688457,45.14201429486275,1,WAIT,False
P001363,insufficient_funds,REMINDER,0.7828765,22.083471953868866,1,WAIT,False
P001365,bank_error,RETRY,0.7599766,107.74899184703827,1,RETRY,True
P001371,insufficient_funds,REMINDER,0.7393194,49.25240361690521,1,WAIT,False
P001375,authentication_failed,PAYMENT_LINK,0.90509355,187.3013043999672,1,PAYMENT_LINK,True
P001378,payment_method_issue,PAYMENT_LINK,0.7321419,129.15381532907486,1,PAYMENT_LINK,True
P001386,payment_method_issue,PAYMENT_LINK,0.875316,182.1830883026123,1,PAYMENT_LINK,True
P001393,authentication_failed,PAYMENT_LINK,0.8498147,237.8261215686798,1,PAYMENT_LINK,True
P001394,bank_error,RETRY,0.6896318,49.52280354499817,1,RETRY,True
P001399,payment_method_issue,PAYMENT_LINK,0.8148358,185.7609141767025,1,PAYMENT_LINK,True
P001400,insufficient_funds,PAYMENT_LINK,0.52872425,35.735210597515106,0,WAIT,False
P001408,authentication_failed,PAYMENT_LINK,0.9248393,141.6327889561653,1,PAYMENT_LINK,True
P001412,bank_error,RETRY,0.774375,40.85214698314667,1,RETRY,True
P001413,bank_error,RETRY,0.7812864,37.16131365299225,0,RETRY,True
P001414,bank_error,PAYMENT_LINK,0.66930026,43.05224633216858,1,RETRY,False
P001422,payment_method_issue,PAYMENT_LINK,0.7593405,166.53841876983643,1,PAYMENT_LINK,True
P001430,insufficient_funds,WAIT,0.61419386,0.0,1,WAIT,True
P001438,authentication_failed,PAYMENT_LINK,0.85272473,223.09888103604317,1,PAYMENT_LINK,True
P001443,bank_error,WAIT,0.5199591,0.0,1,RETRY,False
P001468,bank_error,RETRY,0.84418344,73.51527243852615,1,RETRY,True
P001476,insufficient_funds,WAIT,0.6138962,0.0,0,WAIT,True
P001489,insufficient_funds,WAIT,0.7200272,0.0,0,WAIT,True
