payment_id,customer_id,amount,profile,subscription_months,successful_payments,failed_payments,avg_delay_days,reminder_success_rate,failure_reason,attempt_number,action,recovery_probability_true,recovered
P000020,C08159,499,frequent_failure,12,6,5,4.88,0.21,payment_method_issue,3,RETRY,0.1981,0
P000020,C08159,499,frequent_failure,12,6,5,4.88,0.21,payment_method_issue,3,REMINDER,0.4224,0
P000020,C08159,499,frequent_failure,12,6,5,4.88,0.21,payment_method_issue,3,PAYMENT_LINK,0.8608,1
P000021,C09897,499,reliable,27,32,0,0.24,0.84,insufficient_funds,3,WAIT,0.7298,0
P000021,C09897,499,reliable,27,32,0,0.24,0.84,insufficient_funds,3,RETRY,0.206,1
P000021,C09897,499,reliable,27,32,0,0.24,0.84,insufficient_funds,3,REMINDER,0.7528,1
P000021,C09897,499,reliable,27,32,0,0.24,0.84,insufficient_funds,3,PAYMENT_LINK,0.727,1
P000022,C02250,499,reliable,11,20,0,0.33,0.85,insufficient_funds,2,WAIT,0.7803,0
P000022,C02250,499,reliable,11,20,0,0.33,0.85,insufficient_funds,2,RETRY,0.3704,0
P000022,C02250,499,reliable,11,20,0,0.33,0.85,insufficient_funds,2,REMINDER,0.7888,1
P000022,C02250,499,reliable,11,20,0,0.33,0.85,insufficient_funds,2,PAYMENT_LINK,0.5665,1
P000023,C04641,499,reliable,14,32,2,0.87,0.89,bank_error,2,WAIT,0.7877,1
P000023,C04641,499,reliable,14,32,2,0.87,0.89,bank_error,2,RETRY,0.8161,1
P000023,C04641,499,reliable,14,32,2,0.87,0.89,bank_error,2,REMINDER,0.734,1
P000023,C04641,499,reliable,14,32,2,0.87,0.89,bank_error,2,PAYMENT_LINK,0.6604,1
P000024,C09486,499,reliable,25,12,1,0.88,0.86,payment_method_issue,2,WAIT,0.6492,1
P000024,C09486,499,reliable,25,12,1,0.88,0.86,payment_method_issue,2,RETRY,0.4611,0
P000024,C09486,499,reliable,25,12,1,0.88,0.86,payment_method_issue,2,REMINDER,0.8629,1
P000024,C09486,499,reliable,25,12,1,0.88,0.86,payment_method_issue,2,PAYMENT_LINK,0.7855,1
P000025,C04948,499,reliable,32,7,1,0.52,0.99,insufficient_funds,1,WAIT,0.7162,1
P000025,C04948,499,reliable,32,7,1,0.52,0.99,insufficient_funds,1,RETRY,0.4033,0
P000025,C04948,499,reliable,32,7,1,0.52,0.99,insufficient_funds,1,REMINDER,0.8348,1
P000025,C04948,499,reliable,32,7,1,0.52,0.99,insufficient_funds,1,PAYMENT_LINK,0.7698,1
P000026,C09921,499,churn_risk,9,4,4,10.34,0.17,payment_method_issue,1,WAIT,0.3947,0
P000026,C09921,499,churn_risk,9,4,4,10.34,0.17,payment_method_issue,1,RETRY,0.2852,0
P000026,C09921,499,churn_risk,9,4,4,10.34,0.17,payment_method_issue,1,REMINDER,0.3703,0
P000026,C09921,499,churn_risk,9,4,4,10.34,0.17,payment_method_issue,1,PAYMENT_LINK,0.7201,1
P000027,C01964,499,reliable,26,25,2,0.18,0.93,payment_method_issue,3,WAIT,0.5997,0
P000027,C01964,499,reliable,26,25,2,0.18,0.93,payment_method_issue,3,RETRY,0.3045,0
P000027,C01964,499,reliable,26,25,2,0.18,0.93,payment_method_issue,3,REMINDER,0.8261,0
P000027,C01964,499,reliable,26,25,2,0.18,0.93,payment_method_issue,3,PAYMENT_LINK,0.95,1
P000028,C08244,499,churn_risk,7,5,9,7.14,0.18,authentication_failed,2,WAIT,0.357,0
P000028,C08244,499,churn_risk,7,5,9,7.14,0.18,authentication_failed,2,RETRY,0.1037,0
P000028,C08244,499,churn_risk,7,5,9,7.14,0.18,authentication_failed,2,REMINDER,0.5604,1
P000028,C08244,499,churn_risk,7,5,9,7.14,0.18,authentication_failed,2,PAYMENT_LINK,0.7479,1
P000029,C06591,499,reliable,24,10,2,0.55,0.91,bank_error,3,WAIT,0.703,1
P000029,C06591,499,reliable,24,10,2,0.55,0.91,bank_error,3,RETRY,0.7669,1
P000029,C06591,499,reliable,24,10,2,0.55,0.91,bank_error,3,REMINDER,0.7747,1
P000029,C06591,499,reliable,24,10,2,0.55,0.91,bank_error,3,PAYMENT_LINK,0.663,1
P000030,C08848,499,reliable,34,8,2,0.29,0.91,bank_error,2,WAIT,0.7519,0
P000030,C08848,499,reliable,34,8,2,0.29,0.91,bank_error,2,RETRY,0.8317,1
P000030,C08848,499,reliable,34,8,2,0.29,0.91,bank_error,2,REMINDER,0.8199,1
P000030,C08848,499,reliable,34,8,2,0.29,0.91,bank_error,2,PAYMENT_LINK,0.6788,1
P000031,C00322,499,frequent_failure,6,10,4,7.53,0.42,payment_method_issue,2,WAIT,0.3619,1
P000031,C00322,499,frequent_failure,6,10,4,7.53,0.42,payment_method_issue,2,RETRY,0.3087,0
P000031,C00322,499,frequent_failure,6,10,4,7.53,0.42,payment_method_issue,2,REMINDER,0.592,1
P000031,C00322,499,frequent_failure,6,10,4,7.53,0.42,payment_method_issue,2,PAYMENT_LINK,0.7279,0
P000032,C02679,499,frequent_failure,15,3,4,3.99,0.3,insufficient_funds,3,WAIT,0.581,1
P000032,C02679,499,frequent_failure,15,3,4,3.99,0.3,insufficient_funds,3,RETRY,0.05,0
P000032,C02679,499,frequent_failure,15,3,4,3.99,0.3,insufficient_funds,3,REMINDER,0.4542,1
P000032,C02679,499,frequent_failure,15,3,4,3.99,0.3,insufficient_funds,3,PAYMENT_LINK,0.4495,1
P000033,C04626,499,frequent_failure,11,3,4,5.1,0.33,payment_method_issue,3,WAIT,0.3778,0
P000033,C04626,499,frequent_failure,11,3,4,5.1,0.33,payment_method_issue,3,RETRY,0.2098,0
P000033,C04626,499,frequent_failure,11,3,4,5.1,0.33,payment_method_issue,3,REMINDER,0.4945,0
P000033,C04626,499,frequent_failure,11,3,4,5.1,0.33,payment_method_issue,3,PAYMENT_LINK,0.7194,1
P000034,C04950,499,frequent_failure,15,11,4,5.14,0.17,bank_error,1,WAIT,0.6721,0
P000034,C04950,499,frequent_failure,15,11,4,5.14,0.17,bank_error,1,RETRY,0.6429,0
P000034,C04950,499,frequent_failure,15,11,4,5.14,0.17,bank_error,1,REMINDER,0.3594,0
P000034,C04950,499,frequent_failure,15,11,4,5.14,0.17,bank_error,1,PAYMENT_LINK,0.4948,1
P000035,C08329,499,reliable,10,32,2,0.28,0.81,bank_error,2,WAIT,0.7437,1
P000035,C08329,499,reliable,10,32,2,0.28,0.81,bank_error,2,RETRY,0.8531,1
P000035,C08329,499,reliable,10,32,2,0.28,0.81,bank_error,2,REMINDER,0.7662,1
P000035,C08329,499,reliable,10,32,2,0.28,0.81,bank_error,2,PAYMENT_LINK,0.7187,1
P000036,C03338,499,reliable,24,34,0,0.29,0.72,insufficient_funds,1,WAIT,0.7406,1
P000036,C03338,499,reliable,24,34,0,0.29,0.72,insufficient_funds,1,RETRY,0.3716,0
P000036,C03338,499,reliable,24,34,0,0.29,0.72,insufficient_funds,1,REMINDER,0.7811,1
P000036,C03338,499,reliable,24,34,0,0.29,0.72,insufficient_funds,1,PAYMENT_LINK,0.6377,0
P000037,C05590,499,frequent_failure,7,3,7,6.86,0.36,insufficient_funds,1,WAIT,0.5268,0
P000037,C05590,499,frequent_failure,7,3,7,6.86,0.36,insufficient_funds,1,RETRY,0.1817,0
P000037,C05590,499,frequent_failure,7,3,7,6.86,0.36,insufficient_funds,1,REMINDER,0.5423,0
P000037,C05590,499,frequent_failure,7,3,7,6.86,0.36,insufficient_funds,1,PAYMENT_LINK,0.5122,0
P000038,C00252,499,churn_risk,3,3,9,9.62,0.05,authentication_failed,1,WAIT,0.3412,0
P000038,C00252,499,churn_risk,3,3,9,9.62,0.05,authentication_failed,1,RETRY,0.0964,0
P000038,C00252,499,churn_risk,3,3,9,9.62,0.05,authentication_failed,1,REMINDER,0.404,0
P000038,C00252,499,churn_risk,3,3,9,9.62,0.05,authentication_failed,1,PAYMENT_LINK,0.7651,1
P000039,C03974,499,frequent_failure,7,9,5,6.18,0.49,insufficient_funds,1,WAIT,0.5418,1
P000039,C03974,499,frequent_failure,7,9,5,6.18,0.49,insufficient_funds,1,RETRY,0.194,0
P000039,C03974,499,frequent_failure,7,9,5,6.18,0.49,insufficient_funds,1,REMINDER,0.4956,0
P000039,C03974,499,frequent_failure,7,9,5,6.18,0.49,insufficient_funds,1,PAYMENT_LINK,0.5461,1
P000040,C06631,499,occasionally_late,16,10,3,3.88,0.56,payment_method_issue,2,WAIT,0.539,1
P000040,C06631,499,occasionally_late,16,10,3,3.88,0.56,payment_method_issue,2,RETRY,0.375,0
P000040,C06631,499,occasionally_late,16,10,3,3.88,0.56,payment_method_issue,2,REMINDER,0.6993,1
P000040,C06631,499,occasionally_late,16,10,3,3.88,0.56,payment_method_issue,2,PAYMENT_LINK,0.7739,1
P000041,C05548,499,occasionally_late,17,4,4,2.71,0.7,bank_error,2,WAIT,0.7277,1
P000041,C05548,499,occasionally_late,17,4,4,2.71,0.7,bank_error,2,RETRY,0.7874,1
P000041,C05548,499,occasionally_late,17,4,4,2.71,0.7,bank_error,2,REMINDER,0.6465,1
P000041,C05548,499,occasionally_late,17,4,4,2.71,0.7,bank_error,2,PAYMENT_LINK,0.6103,1
P000042,C00036,499,reliable,12,25,0,0.69,0.82,authentication_failed,1,WAIT,0.5239,1
P000042,C00036,499,reliable,12,25,0,0.69,0.82,authentication_failed,1,RETRY,0.3288,0
P000042,C00036,499,reliable,12,25,0,0.69,0.82,authentication_failed,1,REMINDER,0.9003,0
P000042,C00036,499,reliable,12,25,0,0.69,0.82,authentication_failed,1,PAYMENT_LINK,0.9091,1
P000043,C08363,499,reliable,22,15,0,0.22,0.74,payment_method_issue,2,WAIT,0.5433,0
P000043,C08363,499,reliable,22,15,0,0.22,0.74,payment_method_issue,2,RETRY,0.3952,1
P000043,C08363,499,reliable,22,15,0,0.22,0.74,payment_method_issue,2,REMINDER,0.8201,1
P000043,C08363,499,reliable,22,15,0,0.22,0.74,payment_method_issue,2,PAYMENT_LINK,0.8495,1
P000044,C01514,499,occasionally_late,24,9,4,2.05,0.59,insufficient_funds,1,WAIT,0.6462,1
P000044,C01514,499,occasionally_late,24,9,4,2.05,0.59,insufficient_funds,1,RETRY,0.2446,0
P000044,C01514,499,occasionally_late,24,9,4,2.05,0.59,insufficient_funds,1,REMINDER,0.7254,0
P000044,C01514,499,occasionally_late,24,9,4,2.05,0.59,insufficient_funds,1,PAYMENT_LINK,0.6564,0
P000045,C09318,499,reliable,17,14,1,0.94,0.89,payment_method_issue,3,WAIT,0.4891,1
P000045,C09318,499,reliable,17,14,1,0.94,0.89,payment_method_issue,3,RETRY,0.3815,1
P000045,C09318,499,reliable,17,14,1,0.94,0.89,payment_method_issue,3,REMINDER,0.8997,1
P000045,C09318,499,reliable,17,14,1,0.94,0.89,payment_method_issue,3,PAYMENT_LINK,0.8677,0
P000046,C00040,499,churn_risk,11,6,4,7.79,0.23,bank_error,1,WAIT,0.5881,0
P000046,C00040,499,churn_risk,11,6,4,7.79,0.23,bank_error,1,RETRY,0.5973,1
P000046,C00040,499,churn_risk,11,6,4,7.79,0.23,bank_error,1,REMINDER,0.3956,0
P000046,C00040,499,churn_risk,11,6,4,7.79,0.23,bank_error,1,PAYMENT_LINK,0.4781,0
P000047,C04820,499,reliable,22,27,0,0.61,0.76,payment_method_issue,3,WAIT,0.5351,1
P000047,C04820,499,reliable,22,27,0,0.61,0.76,payment_method_issue,3,RETRY,0.3414,0
P000047,C04820,499,reliable,22,27,0,0.61,0.76,payment_method_issue,3,REMINDER,0.7653,1
P000047,C04820,499,reliable,22,27,0,0.61,0.76,payment_method_issue,3,PAYMENT_LINK,0.8823,1
P000048,C03466,499,occasionally_late,8,13,4,3.43,0.75,authentication_failed,1,WAIT,0.4387,1
P000048,C03466,499,occasionally_late,8,13,4,3.43,0.75,authentication_failed,1,RETRY,0.3128,0
P000048,C03466,499,occasionally_late,8,13,4,3.43,0.75,authentication_failed,1,REMINDER,0.8225,0
P000048,C03466,499,occasionally_late,8,13,4,3.43,0.75,authentication_failed,1,PAYMENT_LINK,0.871,1
P000049,C01761,499,reliable,12,20,1,0.67,0.86,payment_method_issue,1,WAIT,0.6408,1
P000049,C01761,499,reliable,12,20,1,0.67,0.86,payment_method_issue,1,RETRY,0.4191,1
P000049,C01761,499,reliable,12,20,1,0.67,0.86,payment_method_issue,1,REMINDER,0.7958,1
P000049,C01761,499,reliable,12,20,1,0.67,0.86,payment_method_issue,1,PAYMENT_LINK,0.8593,1
P000050,C02305,499,churn_risk,5,6,8,11.86,0.1,insufficient_funds,2,WAIT,0.5047,0
P000050,C02305,499,churn_risk,5,6,8,11.86,0.1,insufficient_funds,2,RETRY,0.1624,0
P000050,C02305,499,churn_risk,5,6,8,11.86,0.1,insufficient_funds,2,REMINDER,0.344,1
P000050,C02305,499,churn_risk,5,6,8,11.86,0.1,insufficient_funds,2,PAYMENT_LINK,0.3867,1
P000051,C03724,499,reliable,9,33,2,1.0,0.83,bank_error,3,WAIT,0.6609,1
P000051,C03724,499,reliable,9,33,2,1.0,0.83,bank_error,3,RETRY,0.7676,0
P000051,C03724,499,reliable,9,33,2,1.0,0.83,bank_error,3,REMINDER,0.7028,1
P000051,C03724,499,reliable,9,33,2,1.0,0.83,bank_error,3,PAYMENT_LINK,0.758,1
P000052,C08285,499,reliable,26,20,2,0.12,0.96,authentication_failed,2,WAIT,0.4896,1
P000052,C08285,499,reliable,26,20,2,0.12,0.96,authentication_failed,2,RETRY,0.3435,1
P000052,C08285,499,reliable,26,20,2,0.12,0.96,authentication_failed,2,REMINDER,0.9377,1
P000052,C08285,499,reliable,26,20,2,0.12,0.96,authentication_failed,2,PAYMENT_LINK,0.8599,0
P000053,C04994,499,frequent_failure,3,8,7,4.11,0.39,authentication_failed,1,WAIT,0.3392,1
P000053,C04994,499,frequent_failure,3,8,7,4.11,0.39,authentication_failed,1,RETRY,0.2101,1
P000053,C04994,499,frequent_failure,3,8,7,4.11,0.39,authentication_failed,1,REMINDER,0.6048,0
P000053,C04994,499,frequent_failure,3,8,7,4.11,0.39,authentication_failed,1,PAYMENT_LINK,0.7359,1
P000054,C08128,499,reliable,19,24,1,0.49,0.89,payment_method_issue,3,WAIT,0.5317,1
P000054,C08128,499,reliable,19,24,1,0.49,0.89,payment_method_issue,3,RETRY,0.3741,0
P000054,C08128,499,reliable,19,24,1,0.49,0.89,payment_method_issue,3,REMINDER,0.7925,1
P000054,C08128,499,reliable,19,24,1,0.49,0.89,payment_method_issue,3,PAYMENT_LINK,0.95,1
P000055,C03033,499,frequent_failure,5,2,6,5.37,0.35,payment_method_issue,1,WAIT,0.4016,0
P000055,C03033,499,frequent_failure,5,2,6,5.37,0.35,payment_method_issue,1,RETRY,0.3379,0
P000055,C03033,499,frequent_failure,5,2,6,5.37,0.35,payment_method_issue,1,REMINDER,0.5105,1
P000055,C03033,499,frequent_failure,5,2,6,5.37,0.35,payment_method_issue,1,PAYMENT_LINK,0.7485,1
P000056,C07939,499,occasionally_late,24,19,2,2.24,0.57,bank_error,3,WAIT,0.5809,0
P000056,C07939,499,occasionally_late,24,19,2,2.24,0.57,bank_error,3,RETRY,0.6515,0
P000056,C07939,499,occasionally_late,24,19,2,2.24,0.57,bank_error,3,REMINDER,0.6677,1
P000056,C07939,499,occasionally_late,24,19,2,2.24,0.57,bank_error,3,PAYMENT_LINK,0.6598,0
P000057,C03040,499,churn_risk,2,1,8,14.82,0.23,bank_error,3,WAIT,0.5454,0
P000057,C03040,499,churn_risk,2,1,8,14.82,0.23,bank_error,3,RETRY,0.5556,1
P000057,C03040,499,churn_risk,2,1,8,14.82,0.23,bank_error,3,REMINDER,0.2591,0
P000057,C03040,499,churn_risk,2,1,8,14.82,0.23,bank_error,3,PAYMENT_LINK,0.495,1
P000058,C09656,499,churn_risk,10,6,5,10.99,0.27,insufficient_funds,1,WAIT,0.5821,1
P000058,C09656,499,churn_risk,10,6,5,10.99,0.27,insufficient_funds,1,RETRY,0.1489,0
P000058,C09656,499,churn_risk,10,6,5,10.99,0.27,insufficient_funds,1,REMINDER,0.417,0
P000058,C09656,499,churn_risk,10,6,5,10.99,0.27,insufficient_funds,1,PAYMENT_LINK,0.4053,0
P000059,C02546,499,occasionally_late,8,6,2,2.98,0.7,insufficient_funds,1,WAIT,0.7706,1
P000059,C02546,499,occasionally_late,8,6,2,2.98,0.7,insufficient_funds,1,RETRY,0.3531,0
P000059,C02546,499,occasionally_late,8,6,2,2.98,0.7,insufficient_funds,1,REMINDER,0.7072,1
P000059,C02546,499,occasionally_late,8,6,2,2.98,0.7,insufficient_funds,1,PAYMENT_LINK,0.5737,0
P000060,C02593,499,churn_risk,10,0,9,7.44,0.26,payment_method_issue,2,WAIT,0.3158,1
P000060,C02593,499,churn_risk,10,0,9,7.44,0.26,payment_method_issue,2,RETRY,0.2197,1
P000060,C02593,499,churn_risk,10,0,9,7.44,0.26,payment_method_issue,2,REMINDER,0.3849,0
P000060,C02593,499,churn_risk,10,0,9,7.44,0.26,payment_method_issue,2,PAYMENT_LINK,0.6686,0
P000061,C01189,499,occasionally_late,19,19,3,1.33,0.79,payment_method_issue,2,WAIT,0.5504,1
P000061,C01189,499,occasionally_late,19,19,3,1.33,0.79,payment_method_issue,2,RETRY,0.4277,0
P000061,C01189,499,occasionally_late,19,19,3,1.33,0.79,payment_method_issue,2,REMINDER,0.7444,1
P000061,C01189,499,occasionally_late,19,19,3,1.33,0.79,payment_method_issue,2,PAYMENT_LINK,0.8318,0
P000062,C07967,499,reliable,10,6,1,0.73,0.71,payment_method_issue,1,WAIT,0.5295,1
P000062,C07967,499,reliable,10,6,1,0.73,0.71,payment_method_issue,1,RETRY,0.4059,0
P000062,C07967,499,reliable,10,6,1,0.73,0.71,payment_method_issue,1,REMINDER,0.7966,0
P000062,C07967,499,reliable,10,6,1,0.73,0.71,payment_method_issue,1,PAYMENT_LINK,0.8832,1
P000063,C06078,499,reliable,15,7,0,0.23,0.8,authentication_failed,2,WAIT,0.4468,1
P000063,C06078,499,reliable,15,7,0,0.23,0.8,authentication_failed,2,RETRY,0.4096,0
P000063,C06078,499,reliable,15,7,0,0.23,0.8,authentication_failed,2,REMINDER,0.7617,1
P000063,C06078,499,reliable,15,7,0,0.23,0.8,authentication_failed,2,PAYMENT_LINK,0.95,1
P000064,C00108,499,reliable,6,22,1,0.36,0.73,bank_error,2,WAIT,0.6538,0
P000064,C00108,499,reliable,6,22,1,0.36,0.73,bank_error,2,RETRY,0.833,1
P000064,C00108,499,reliable,6,22,1,0.36,0.73,bank_error,2,REMINDER,0.7741,0
P000064,C00108,499,reliable,6,22,1,0.36,0.73,bank_error,2,PAYMENT_LINK,0.6833,0
P000065,C01316,499,occasionally_late,21,12,4,3.25,0.56,payment_method_issue,1,WAIT,0.4953,0
P000065,C01316,499,occasionally_late,21,12,4,3.25,0.56,payment_method_issue,1,RETRY,0.4014,0
P000065,C01316,499,occasionally_late,21,12,4,3.25,0.56,payment_method_issue,1,REMINDER,0.6369,1
P000065,C01316,499,occasionally_late,21,12,4,3.25,0.56,payment_method_issue,1,PAYMENT_LINK,0.8072,1
P000066,C08188,499,occasionally_late,7,6,4,1.54,0.78,bank_error,3,WAIT,0.6451,0
P000066,C08188,499,occasionally_late,7,6,4,1.54,0.78,bank_error,3,RETRY,0.6354,1
P000066,C08188,499,occasionally_late,7,6,4,1.54,0.78,bank_error,3,REMINDER,0.6295,1
P000066,C08188,499,occasionally_late,7,6,4,1.54,0.78,bank_error,3,PAYMENT_LINK,0.6641,0
P000067,C02754,499,churn_risk,11,1,5,6.43,0.27,payment_method_issue,1,WAIT,0.3603,0
